,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/amsterdam/9459253_johannes-vermeerstraat,Johannes Vermeerstraat 15-2,1071 DK,2950.0,135,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/6562_rijswijkstraat,Rijswijkstraat ,1062 EP,565.0,72,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6373_hugo-verriesthof,Hugo Verriesthof ,1064 HW,188.0,52,2,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9453594_bestevaerstraat,Bestevâerstraat ,1056 HH,1550.0,50,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9454017_oudezijds-voorburgwal,Oudezijds Voorburgwal ,1012 EK,1350.0,37,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/5317_van-ostadestraat,Van Ostadestraat ,1074 VV,1100.0,29,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9447206_peelstraat,Peelstraat ,1079 RN,1250.0,62,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9450007_jan-van-zutphenstraat,Jan Van Zutphenstraat ,1069 RR,1995.0,110,4,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9700_douwes-dekkerstraat,Douwes Dekkerstraat ,1053 SW,1350.0,42,2,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9450389_lumeijstraat,Lumeijstraat ,1056 VS,2650.0,141,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9451470_dijksgracht,Dijksgracht ,1019 BT,1850.0,65,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/6122_keizersgracht,Keizersgracht ,1017 EB,1250.0,28,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9451559_peelstraat,Peelstraat ,1079 RN,1250.0,62,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9443445_van-breestraat,Van Breestraat ,1071 ZW,1850.0,60,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/1465_van-woustraat,Van Woustraat ,1073 LM,750.0,55,2,Gestoffeerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/9444375_tweede-jacob-van-campenstraat,Tweede Jacob Van Campenstraat ,1073 XN,1750.0,53,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9442408_hillegomstraat,Hillegomstraat ,1059 CX,2950.0,120,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1166_keizersgracht,Keizersgracht ,1017 EB,1000.0,19,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9442591_nieuwe-herengracht,Nieuwe Herengracht ,1011 RJ,2750.0,115,4,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9443011_derde-kostverlorenkade,Derde Kostverlorenkade ,1054 TN,1700.0,49,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/8741_lorreinenstraat,Lorreinenstraat ,1055 DA,745.0,55,2,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9443037_beethovenstraat,Beethovenstraat ,1077 BD,2450.0,120,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/4248575_maarten-harpertszoon-trompstraat,Maarten Harpertszoon Trompstraat ,1056 HT,1750.0,100,2,Gemeubileerd,2020-12-31
https://www.woonnet.nl/huurwoning/amsterdam/7160_oudezijds-voorburgwal,Oudezijds Voorburgwal ,1012 EJ,1100.0,28,1,Gestoffeerd,10-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9439607_hugo-de-grootkade,Hugo De Grootkade ,1053 AA,1900.0,80,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9435834_churchill-laan,Churchill-Laan ,1078 DB,2800.0,133,3,Beschikbaar per: 2020-05-01,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/8725_nassaukade,Nassaukade ,1053 LV,1000.0,25,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9437119_parnassusweg,Parnassusweg ,1077 DA,2000.0,100,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9437519_rooswijck,Rooswijck ,1081 AJ,1600.0,76,99,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/3835_barajasweg,Barajasweg ,1043 CP,955.0,36,1,Gestoffeerd,10-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9426771_eerste-helmersstraat,Eerste Helmersstraat ,1054 HK,2750.0,160,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9426671_prinsengracht,Prinsengracht 202 - I,1016 HD,1850.0,50,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/5463_singerstraat,Singerstraat ,1064 WP,575.0,20,1,Gemeubileerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9337992_rietlandpark,Rietlandpark ,1019 DT,2250.0,140,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/8384021_amstelveenseweg,Amstelveenseweg ,1054 MB,2500.0,101,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/5081_govert-flinckstraat,Govert Flinckstraat ,1073 CE,1250.0,42,1,Gestoffeerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/4515_quellijnstraat,Quellijnstraat ,1072 XZ,1250.0,30,1,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9423405_theophile-de-bockstraat,Theophile De Bockstraat ,1058 TV,1650.0,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6137_markengouw,Markengouw ,1024 CZ,188.0,55,3,Gestoffeerd,30-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9421659_gravenstraat,Gravenstraat ,1012 NL,1625.0,55,1,Gemeubileerd/gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9419173_gravenstraat,Gravenstraat ,1012 NL,1800.0,70,1,Gemeubileerd/gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8972_scheldestraat,Scheldestraat ,1078 GH,1150.0,75,3,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9419358_oudezijds-achterburgwal,Oudezijds Achterburgwal ,1012 DA,1750.0,58,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9413253_backershagen,Backershagen ,1082 GR,2395.0,117,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/1857_schelluinenstraat,Schelluinenstraat ,1107 JD,1200.0,77,2,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9413608_tweede-helmersstraat,Tweede Helmersstraat ,1054 CA,2965.0,130,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9415449_staalkade,Staalkade ,1011 JN,2100.0,120,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/8993_wijenburg,Wijenburg ,1082 VZ,687.0,67,3,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9415731_ceintuurbaan,Ceintuurbaan ,1072 ER,1900.0,81,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9409429_fokke-simonszstraat,Fokke Simonszstraat ,1017 TD,2250.0,78,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/341_lange-leidsedwarsstraat,Lange Leidsedwarsstraat ,1017NH &amp;bullet,950.0,14,1,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9409490_bolestein,Bolestein ,1081 CP,1950.0,93,2,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9408296_kloveniersburgwal,Kloveniersburgwal ,1012 CW,1750.0,56,1,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/6605_rijswijkstraat,Rijswijkstraat ,1062 EV,729.0,23,1,Gemeubileerd,01-05-2020
https://www.woonnet.nl/huurwoning/amsterdam/9408805_ijdoornlaan,Ijdoornlaan ,1121 DS,1499.0,128,3,Kaal,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2431_afroditekade,Afroditekade ,1076 DP,1225.0,75,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2870_singel,Singel ,1015 AC,850.0,40,1,Gestoffeerd,05-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9404552_winterjanpad,Winterjanpad ,1036 KJ,2000.0,140,4,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/9405402_albatrospad,Albatrospad ,1021 TR,1850.0,86,3,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/2914_juliana-van-stolbergstraat,Juliana van Stolbergstraat ,1055 RM,1350.0,51,1,Gestoffeerd,15-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9402834_oude-waal,Oude Waal ,1011 BX,2400.0,100,2,Per direct beschikbaar,gratis!</span>
