,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/amsterdam/3733_vespuccistraat,Vespuccistraat ,1056 SV,700.0,92,4,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/7803138_orteliusstraat,Orteliusstraat 17 - S,1057 AR,1000.0,999,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/6649946_vrolikstraat,Vrolikstraat ,1091 VG,1600.0,60,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/7199335_wagenaarstraat,Wagenaarstraat ,1093 CN,1600.0,65,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/7503_dever,Dever ,1082 BK,1150.0,76,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8135_van-bossestraat,Van Bossestraat ,1051 KB,763.0,50,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3132_kinkerstraat,Kinkerstraat ,1053 GJ,725.0,52,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6947900_balistraat,Balistraat ,1094,1500.0,51,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2155_jacob-van-lennepkade,Jacob van Lennepkade ,1054 ZW,725.0,65,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/9187_paramaribostraat,Paramaribostraat ,1058 AN,617.0,85,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/5753_sassenheimstraat,Sassenheimstraat ,1059 BL,675.0,55,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2440_dever,Dever ,1082 BJ,1245.0,50,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6497379_pieter-cornelisz-hooftstraat,Pieter Cornelisz. Hooftstraat ,1071 BL,595.0,999,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/6498451_kerkstraat,Kerkstraat ,1017 GA,325.0,999,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/1985_s-gravesandeplein,'s-Gravesandeplein ,1091 BB,1350.0,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3228_leimuidenstraat,Leimuidenstraat ,1059 EK,1500.0,55,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/4294359_nedersticht,Nedersticht ,1083 VL,1500.0,70,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/6243914_kijkduinstraat,Kijkduinstraat ,1055 DR,1500.0,53,2,Gemeubileerd,beschikbaar
