,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/6512608_tilanusstraat,Tilanusstraat ,1091 BD,1750.0,70,1,Gemeubileerd,beschikbaar,2020-06-15 12:23:50.268331
https://www.woonnet.nl/huurwoning/amsterdam/2389_m-gandhilaan,M. Gandhilaan ,1069 ND,1010.0,80,3,Gestoffeerd,01-07-2020,2020-06-15 12:23:50.269098
https://www.woonnet.nl/huurwoning/amsterdam/10406791_spuistraat,Spuistraat ,1012 MJ,2250.0,65,2,Gemeubileerd,2020-07-01,2020-06-15 12:23:50.575817
https://www.woonnet.nl/huurwoning/amsterdam/10407209_nieuwe-achtergracht,Nieuwe Achtergracht ,1018 WT,1495.0,75,2,Beschikbaar per: 2020-07-01,gratis!</span>,2020-06-15 12:23:51.189562
https://www.woonnet.nl/huurwoning/amsterdam/8725_overschiestraat,Overschiestraat ,1062 XG,739.0,25,1,Gestoffeerd,01-07-2020,2020-06-15 12:23:51.190304
https://www.woonnet.nl/huurwoning/amsterdam/10404203_kwintsheulstraat,Kwintsheulstraat ,1062 EC,1450.0,65,1,Gemeubileerd,beschikbaar,2020-06-15 12:23:52.111671
https://www.woonnet.nl/huurwoning/amsterdam/10404965_carnapstraat,Carnapstraat 73,1062 KW,2150.0,95,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:52.112408
https://www.woonnet.nl/huurwoning/amsterdam/3148_holendrechtstraat,Holendrechtstraat ,1078 TT,560.0,18,1,Gemeubileerd,01-07-2020,2020-06-15 12:23:52.113097
https://www.woonnet.nl/huurwoning/amsterdam/10405118_prinsengracht,Prinsengracht ,1015 NA,2200.0,90,2,Gestoffeerd,beschikbaar,2020-06-15 12:23:52.207728
https://www.woonnet.nl/huurwoning/amsterdam/10406754_prinsengracht,Prinsengracht ,1015 NA,3000.0,125,2,Gestoffeerd,beschikbaar,2020-06-15 12:23:52.301282
https://www.woonnet.nl/huurwoning/amsterdam/3529_van-ostadestraat,Van Ostadestraat ,1073 TM,1100.0,58,2,Gestoffeerd,01-07-2020,2020-06-15 12:23:52.302048
https://www.woonnet.nl/huurwoning/amsterdam/10398482_cornelis-schuytstraat,Cornelis Schuytstraat ,1071 JC,2000.0,62,1,Gestoffeerd,beschikbaar,2020-06-15 12:23:52.611205
https://www.woonnet.nl/huurwoning/amsterdam/10400098_gerard-doustraat,Gerard Doustraat ,1072 AN,1500.0,40,1,Gemeubileerd,beschikbaar,2020-06-15 12:23:53.033383
https://www.woonnet.nl/huurwoning/amsterdam/10391488_vondelstraat,Vondelstraat ,1054 GD,2475.0,3,99,onbekend,onbekend,2020-06-15 12:23:53.340411
https://www.woonnet.nl/huurwoning/amsterdam/10400380_ruysdaelstraat,Ruysdaelstraat 97 - 3,1071 XC,1500.0,85,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:53.757769
https://www.woonnet.nl/huurwoning/amsterdam/10393460_middenweg,Middenweg ,1098 AA,1850.0,70,2,Beschikbaar per: 2020-09-01,gratis!</span>,2020-06-15 12:23:54.262067
https://www.woonnet.nl/huurwoning/amsterdam/5451_werkendamstraat,Werkendamstraat ,1107 KJ,500.0,72,3,Gestoffeerd,01-07-2020,2020-06-15 12:23:54.262811
https://www.woonnet.nl/huurwoning/amsterdam/10393588_rijnstraat,Rijnstraat 129 - 3,1079 HB,1750.0,80,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:54.263477
https://www.woonnet.nl/huurwoning/amsterdam/10393610_hemonystraat,Hemonystraat 50 III,1074 BS,1800.0,61,2,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:54.264132
https://www.woonnet.nl/huurwoning/amsterdam/381_spaarndammerstraat,Spaarndammerstraat ,1013TC &amp;bullet,1.0,75,2,Gemeubileerd,beschikbaar,2020-06-15 12:23:54.264806
https://www.woonnet.nl/huurwoning/amsterdam/10393100_ruimzicht,Ruimzicht ,1068 CL,1350.0,67,1,Gemeubileerd/gestoffeerd,beschikbaar,2020-06-15 12:23:54.876415
https://www.woonnet.nl/huurwoning/amsterdam/10393430_hoofdweg,Hoofdweg ,1058 BW,1725.0,56,2,Gestoffeerd,beschikbaar,2020-06-15 12:23:55.489474
https://www.woonnet.nl/huurwoning/amsterdam/1779_krijn-taconiskade,Krijn Taconiskade ,1087 HV,1237.0,65,2,Gestoffeerd,01-07-2020,2020-06-15 12:23:55.490230
https://www.woonnet.nl/huurwoning/amsterdam/10392246_amstelkade,Amstelkade ,1078 AA,1850.0,80,2,Beschikbaar per: 2020-09-08,gratis!</span>,2020-06-15 12:23:56.396698
https://www.woonnet.nl/huurwoning/amsterdam/10392780_gerrit-van-der-veenstraat-41-iiiii,Gerrit Van Der Veenstraat 41 - Ii+iii ,1077 DP,2450.0,135,4,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:56.397410
https://www.woonnet.nl/huurwoning/amsterdam/9593_vechtstraat,Vechtstraat ,1079 JP,617.0,60,3,Gestoffeerd,01-07-2020,2020-06-15 12:23:56.398113
https://www.woonnet.nl/huurwoning/amsterdam/10391448_palmgracht,Palmgracht ,1013 HG,1600.0,50,1,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:56.719110
https://www.woonnet.nl/huurwoning/amsterdam/10391661_stadionweg,Stadionweg 135 III,1077 SL,2350.0,120,3,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:56.719822
https://www.woonnet.nl/huurwoning/amsterdam/4242_willy-la-croixstraat,Willy La Croixstraat ,1069 PB,1020.0,80,3,Gestoffeerd,01-07-2020,2020-06-15 12:23:56.720506
https://www.woonnet.nl/huurwoning/amsterdam/10390313_churchill-laan,Churchill-Laan ,1078 DB,1950.0,78,2,Beschikbaar per: 2020-07-01,gratis!</span>,2020-06-15 12:23:57.333211
https://www.woonnet.nl/huurwoning/amsterdam/10390415_ilperveldstraat,Ilperveldstraat ,1024 PG,1750.0,105,3,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:57.569408
https://www.woonnet.nl/huurwoning/amsterdam/4269_martelaarsgracht,Martelaarsgracht ,1012 TN,700.0,63,2,Gestoffeerd,01-07-2020,2020-06-15 12:23:57.570143
https://www.woonnet.nl/huurwoning/amsterdam/10390974_michelangelostraat,Michelangelostraat 108 huis,1077 CH,2900.0,117,3,Per direct beschikbaar,gratis!</span>,2020-06-15 12:23:58.282535
