,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/9460261_de-lairessestraat,De Lairessestraat ,1075 HM,1650.0,55,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6179_bosboom-toussaintstraat,Bosboom Toussaintstraat ,1054 AR,1500.0,46,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9460589_alfred-doblinstraat,Alfred Doblinstraat ,1102 VH,1450.0,69,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9461009_meer-en-vaart,Meer En Vaart ,1068 KV,1239.0,83,2,Kaal,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7160_lomondlaan,Lomondlaan ,1060 PL,490.0,144,5,Gestoffeerd,01-06-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9461243_bolestein,Bolestein ,1081 CP,2950.0,130,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9461494_nieuwe-nieuwstraat,Nieuwe Nieuwstraat ,1012 NG,2250.0,107,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6772_willem-de-zwijgerlaan,Willem de Zwijgerlaan ,1056 JV,1180.0,55,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9459253_johannes-vermeerstraat,Johannes Vermeerstraat 15-2,1071 DK,2950.0,135,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6562_rijswijkstraat,Rijswijkstraat ,1062 EP,565.0,72,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2798_nickeriestraat,Nickeriestraat ,1058 VT,725.0,75,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9453594_bestevaerstraat,Bestevâerstraat ,1056 HH,1550.0,50,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9454017_oudezijds-voorburgwal,Oudezijds Voorburgwal ,1012 EK,1350.0,37,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1116_van-moerkerkenstraat,Van Moerkerkenstraat ,1064 KD,188.0,42,1,Gestoffeerd,08-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9447206_peelstraat,Peelstraat ,1079 RN,1250.0,62,1,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9450007_jan-van-zutphenstraat,Jan Van Zutphenstraat ,1069 RR,1995.0,110,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5475_minervaplein,Minervaplein ,1077 TM,550.0,22,1,Gemeubileerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9450389_lumeijstraat,Lumeijstraat ,1056 VS,2650.0,141,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9451470_dijksgracht,Dijksgracht ,1019 BT,1850.0,65,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6014_rozengracht,Rozengracht ,1016 LV,1300.0,40,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9451559_peelstraat,Peelstraat ,1079 RN,1250.0,62,1,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9443445_van-breestraat,Van Breestraat ,1071 ZW,1850.0,60,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1661_albert-cuypstraat,Albert Cuypstraat ,1073 BR,1200.0,35,1,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9444375_tweede-jacob-van-campenstraat,Tweede Jacob Van Campenstraat ,1073 XN,1750.0,53,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9442408_hillegomstraat,Hillegomstraat ,1059 CX,2950.0,120,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3203_jacob-van-maerlantstraat,Jacob van Maerlantstraat ,1064 JX,543.0,54,3,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9442591_nieuwe-herengracht,Nieuwe Herengracht ,1011 RJ,2750.0,115,4,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9443011_derde-kostverlorenkade,Derde Kostverlorenkade ,1054 TN,1700.0,49,1,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5982_middenweg,Middenweg ,1098 AK,825.0,28,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9443037_beethovenstraat,Beethovenstraat ,1077 BD,2450.0,120,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4248575_maarten-harpertszoon-trompstraat,Maarten Harpertszoon Trompstraat ,1056 HT,1750.0,100,2,Gemeubileerd,2020-12-31,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2256_apollolaan,Apollolaan ,1077 AE,1300.0,35,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9439607_hugo-de-grootkade,Hugo De Grootkade ,1053 AA,1900.0,80,1,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9435834_churchill-laan,Churchill-Laan ,1078 DB,2800.0,133,3,Beschikbaar per: 2020-05-01,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4501_lange-leidsedwarsstraat,Lange Leidsedwarsstraat ,1017 NM,1020.0,30,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9437119_parnassusweg,Parnassusweg ,1077 DA,2000.0,100,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9437519_rooswijck,Rooswijck ,1081 AJ,1600.0,76,99,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/346_kloekhorststraat-273,Kloekhorststraat 273 ,1104 MP,1760.0,81,3,Ongemeubileerd,2020-04-20,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9426771_eerste-helmersstraat,Eerste Helmersstraat ,1054 HK,2750.0,160,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9426671_prinsengracht,Prinsengracht 202 - I,1016 HD,1850.0,50,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8281_kinkerstraat,Kinkerstraat ,1053 DD,1250.0,33,1,Gestoffeerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9337992_rietlandpark,Rietlandpark ,1019 DT,2250.0,140,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8384021_amstelveenseweg,Amstelveenseweg ,1054 MB,2500.0,101,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8663_admiralengracht,Admiralengracht ,1057 GB,1025.0,60,2,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4515_quellijnstraat,Quellijnstraat ,1072 XZ,1250.0,30,1,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9423405_theophile-de-bockstraat,Theophile De Bockstraat ,1058 TV,1650.0,60,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6975_nova-zemblastraat,Nova Zemblastraat ,1013 RJ,1100.0,32,1,Gemeubileerd,15-04-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9421659_gravenstraat,Gravenstraat ,1012 NL,1625.0,55,1,Gemeubileerd/gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9419173_gravenstraat,Gravenstraat ,1012 NL,1800.0,70,1,Gemeubileerd/gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1423_geert-grootestraat,Geert Grootestraat ,1064 NJ,567.0,60,3,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9419358_oudezijds-achterburgwal,Oudezijds Achterburgwal ,1012 DA,1750.0,58,1,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9413253_backershagen,Backershagen ,1082 GR,2395.0,117,3,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4057_ferdinand-bolstraat,Ferdinand Bolstraat ,1072 LH,1300.0,32,1,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9413608_tweede-helmersstraat,Tweede Helmersstraat ,1054 CA,2965.0,130,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9415449_staalkade,Staalkade ,1011 JN,2100.0,120,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6710_berlagehof,Berlagehof ,1067 NA,483.0,109,6,Gestoffeerd,01-05-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9415731_ceintuurbaan,Ceintuurbaan ,1072 ER,1900.0,81,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9409429_fokke-simonszstraat,Fokke Simonszstraat ,1017 TD,2250.0,78,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8456_david-ricardostraat,David Ricardostraat ,1066 LH,860.0,41,1,Gestoffeerd,01-09-2020,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9409490_bolestein,Bolestein ,1081 CP,1950.0,93,2,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9408296_kloveniersburgwal,Kloveniersburgwal ,1012 CW,1750.0,56,1,Per direct beschikbaar,gratis!</span>,01-04-2020
